Absorb Status (AM/PM) — last 14 days
YYYY-MM-DD | AM | PM | Notes
----------------------------------------
2025-08-20 | ✔  | ✔  | 
2025-08-19 | —  | —  | MISS
2025-08-18 | —  | —  | MISS
2025-08-17 | —  | —  | MISS
2025-08-16 | —  | —  | MISS
2025-08-15 | —  | —  | MISS
2025-08-14 | —  | —  | MISS
2025-08-13 | —  | —  | MISS
2025-08-12 | —  | —  | MISS
2025-08-11 | —  | —  | MISS
2025-08-10 | —  | —  | MISS
2025-08-09 | —  | —  | MISS
2025-08-08 | —  | —  | MISS
2025-08-07 | —  | —  | MISS

Tip: run `python3 tools/absorb_status_report.py 14` for two weeks.
