Title,Year,Notes
Hell's Angels,1930,"d.- James Whale, Howard Hughes (6 1/2)"
Anna Christie,1930,d.- Clarence Brown (6 1/2)
Monte Carlo,1930,d.- Ernst Lubitsch (6 1/2)
The Divorcee,1930,d.- Robert Z. Leonard (6 1/2)
The Big House,1930,d.- George W. Hill (6 1/2)
Raffles,1930,d.- George Fitzmaurice (6 1/2)
Feet First,1930,d.- Clyde Bruckman (6 1/2)
Paid,1930,d.- Sam Wood (6 1/2)
Abraham Lincoln,1930,d.- D. W. Griffith (6 1/2)
The Unholy Three,1930,d.- Jack Conway (6 1/2)
Billy the Kid,1930,d.- King Vidor (6 1/2)
Ladies of Leisure,1930,d.- Frank Capra (6 1/2)
Outward Bound,1930,d.- Robert Milton (6 1/2)
Madam Satan,1930,d.- Cecil B. DeMille (6 1/2)
The Devil to Pay!,1930,d.- George Fitzmaurice (6 1/2)
The Doorway to Hell,1930,d.- Archie Mayo (6 1/2)
The Florodora Girl,1930,d.- Harry Beaumont (6 1/2)
Murder!,1930,(BR) d.- Alfred Hitchcock (6 1/2)
The Big Trail,1930,d.- Raoul Walsh (6 1/2)
Journey’s End,1930,(BR-US) d.- James Whale (6 1/2)
Our Blushing Brides,1930,d.- Harry Beaumont (6 1/2)
Show Girl in Hollywood,1930,d.- Mervyn LeRoy (6 1/2)
Tom Sawyer,1930,d.- John Cromwell (6)
"Hook, Line and Sinker",1930,d.- Edward F. Cline (6)
Rain or Shine,1930,d.- Frank Capra (6)
One Romantic Night,1930,d.- Paul L. Stein (6)
Danger Lights,1930,d.- George B. Seitz (6)
Sweet Mama,1930,d.- Edward F. Cline (6)
Let’s Go Native,1930,d.- Leo McCarey (6)
Parole Girl,1930,d.- Edward F. Cline (6)
Up the River,1930,d.- John Ford (6)
Dangerous Paradise,1930,d.- William A. Wellman (6)
The Silver Horde,1930,d.- George Archainbaud (6)
The Cuckoos,1930,d.- Paul Sloane (6)
Good News,1930,d.- Nick Grinde (6)
Frankenstein,1931,d.- James Whale (7)
The Public Enemy,1931,d.- William A. Wellman (7)
Dracula,1931,d.- Tod Browning (7)
The Smiling Lieutenant,1931,d.- Ernst Lubitsch (7)
The Last Flight,1931,d.- William Dieterle (7)
Waterloo Bridge,1931,d.- James Whale (6 1/2)
Monkey Business,1931,d.- Norman Z. McLeod (6 1/2)
Dr. Jekyll and Mr. Hyde,1931,d.- Rouben Mamoulian (6 1/2)
Platinum Blonde,1931,d.- Frank Capra (6 1/2)
The Champ,1931,d.- King Vidor (6 1/2)
Tonight or Never,1931,d.- Mervyn LeRoy (6 1/2)
Private Lives,1931,(BR) d.- Sidney Franklin (6 1/2)
The Front Page,1931,d.- Lewis Milestone (6 1/2)
Five Star Final,1931,d.- Mervyn LeRoy (6 1/2)
Street Scene,1931,d.- King Vidor (6 1/2)
The Maltese Falcon,1931,d.- Roy Del Ruth (6 1/2)
Possessed,1931,d.- Clarence Brown (6 1/2)
A Free Soul,1931,d.- Clarence Brown (6 1/2)
Palmy Days,1931,d.- A. Edward Sutherland (6 1/2)
Cimarron,1931,d.- Wesley Ruggles (6 1/2)
Dishonored,1931,d.- Josef von Sternberg (6 1/2)
The Miracle Woman,1931,d.- Frank Capra (6 1/2)
An American Tragedy,1931,d.- Josef von Sternberg (6 1/2)
Mata Hari,1931,d.- George Fitzmaurice (6 1/2)
The Sin of Madeline Claudet,1931,d.- Edgar Selwyn (6 1/2)
Trader Horn,1931,d.- W. S. Van Dyke (6 1/2)
The Criminal Code,1931,d.- Howard Hawks (6 1/2)
Pardon Us,1931,d.- James Parrott (6 1/2)
City Streets,1931,d.- Rouben Mamoulian (6 1/2)
Skippy,1931,d.- Norman Taurog (6 1/2)
The Night Nurse,1931,d.- William A. Wellman (6 1/2)
Blonde Crazy,1931,d.- Roy Del Ruth (6 1/2)
Svengali,1931,d.- Archie Mayo (6 1/2)
The Guardsman,1931,d.- Sidney Franklin (6 1/2)
Indiscreet,1931,d.- Leo McCarey (6 1/2)
Transatlantic,1931,d.- William K. Howard (6 1/2)
The Unholy Garden,1931,d.- George Fitzmaurice (6 1/2)
Other Men’s Women,1931,d.- William A. Wellman (6 1/2)
Safe in Hell,1931,d.- William A. Wellman (6 1/2)
Arrowsmith,1931,d.- John Ford (6 1/2)
Dirigible,1931,d.- Frank Capra (6 1/2)
Susan Lenox,1931,d.- Robert Z. Leonard (6 1/2)
Guilty Hands,1931,d.- W. S. Van Dyke (6 1/2)
The Mad Genius,1931,d.- Michael Curtiz (6 1/2)
New Adventures of Get Rich Quick Wallingford,1931,d.- Sam Wood (6 1/2)
Working Girls,1931,d.- Dorothy Arzner (6 1/2)
Friends and Lovers,1931,d.- Victor Schertzinger (6 1/2)
Annabelle’s Affairs,1931,d.- Alfred L. Werker (6 1/2)
Gentleman’s Fate,1931,d.- Mervyn LeRoy (6 1/2)
Just a Gigolo,1931,d.- Jack Conway (6 1/2)
The Secret Six,1931,d.- George W. King (6 1/2)
